width,thickness,wec_mass,fitness,generation
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,136470.5882352941,[[0.06354802]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.6462745098039218,64117.64705882353,[[0.00948656]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,127647.05882352941,[[0.04877626]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
9.254901960784313,2.6980392156862747,76470.58823529413,[[0.15135692]],77
4.0,2.508235294117647,64117.64705882353,[[0.00112419]],77
4.9411764705882355,2.508235294117647,71176.4705882353,[[0.01219286]],77
4.0,2.6462745098039218,71176.4705882353,[[0.00439731]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
5.411764705882353,2.7325490196078435,71176.4705882353,[[0.00507519]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
8.392156862745098,2.490980392156863,71176.4705882353,[[0.17390364]],77
4.0,2.508235294117647,127647.05882352941,[[0.04877626]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.490980392156863,71176.4705882353,[[0.00151013]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
13.647058823529411,2.7756862745098045,177058.82352941175,[[0.28585024]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.577254901960784,297058.8235294118,[[0.50252526]],77
22.901960784313726,2.3701960784313725,127647.05882352941,[[0.36976627]],77
9.019607843137255,2.508235294117647,88823.5294117647,[[0.2002431]],77
5.647058823529411,2.3184313725490195,71176.4705882353,[[0.08094203]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
5.176470588235294,2.870588235294118,194705.88235294117,[[0.10438612]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.577254901960784,71176.4705882353,[[0.00123789]],77
14.03921568627451,2.516862745098039,166470.5882352941,[[0.3448943]],77
13.96078431372549,2.516862745098039,252941.17647058822,[[0.38213108]],77
4.0,2.4823529411764707,175294.11764705883,[[0.16394089]],77
22.431372549019606,2.508235294117647,50000.0,[[0.33754664]],77
4.078431372549019,2.6462745098039218,71176.4705882353,[[0.00335145]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
8.392156862745098,2.490980392156863,71176.4705882353,[[0.17390364]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.627450980392156,2.508235294117647,71176.4705882353,[[0.00550691]],77
6.901960784313726,1.8698039215686275,88823.5294117647,[[0.33078772]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
11.607843137254902,2.508235294117647,85294.11764705883,[[0.27287067]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],77
4.0,2.516862745098039,71176.4705882353,[[0.00023447]],77
6.509803921568627,2.508235294117647,85294.11764705883,[[0.08826223]],77
4.1568627450980395,2.7325490196078435,71176.4705882353,[[0.0080041]],77
5.254901960784314,2.327058823529412,71176.4705882353,[[0.05860187]],77
4.0,2.508235294117647,184117.64705882352,[[0.16769036]],77
14.03921568627451,1.4039215686274509,71176.4705882353,[[0.64607769]],77
4.0,2.577254901960784,85294.11764705883,[[0.00102638]],78
11.607843137254902,2.490980392156863,71176.4705882353,[[0.27578082]],78
5.254901960784314,2.327058823529412,71176.4705882353,[[0.05860187]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,57058.82352941176,[[0.00396152]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,127647.05882352941,[[0.04877626]],78
7.137254901960784,2.508235294117647,71176.4705882353,[[0.10215237]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
4.627450980392156,2.508235294117647,71176.4705882353,[[0.00550691]],78
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],78
5.254901960784314,2.4564705882352946,71176.4705882353,[[0.03627498]],78
4.392156862745098,2.378823529411765,71176.4705882353,[[0.01647319]],78
9.019607843137255,2.508235294117647,71176.4705882353,[[0.18469688]],78
